sceneId,title,imagePrompt,suggestedFile
s15_l1_exit,Выход с уровня L1,"клинический коридор киберпанк, влажная вентиляция, табличка rewrite center, тревожная атмосфера, неон",s15_l1_exit.jpg
s16_l2_unlock,Сбой лифта,"лифт в темноте, неоновое предупреждение neurodyne, тревожное отражение в зеркале, киберпанк хоррор",s16_l2_unlock.jpg
s17_maintenance_door,Дверь в техзону,"металлическая дверь maintenance only, сервисный порт, лестница, тревожные тени, индустриальный киберпанк хоррор",s17_maintenance_door.jpg
s18_listen_steps,Слушать шаги,"лестница, тени патруля внизу, аварийный свет, ощущение преследования, хоррор",s18_listen_steps.jpg
s19_guard_loot,Трофеи,"жетон корпорации и пропуск в руках, терминал сессии переписи, жуткая тишина, киберпанк",s19_guard_loot.jpg
s20_guard_talk,Разговор с пустыми глазами,"охранник с пустым взглядом, тихий разговор через стекло, таблетка, неон, киберпанк хоррор",s20_guard_talk.jpg
s21_clinic_hall,Клиническое крыло,"клинический коридор переписи, мягкие огни, матовое стекло с силуэтами пациентов, администратор в халате, жуткая улыбка",s21_clinic_hall.jpg
s22_service_niche,Служебная ниша,"сервисная ниша лифта, провода, спуфер, пломбирующая лента, киберпанк, напряжение",s22_service_niche.jpg
s23_l2_corridor,Коридор L2,"индустриальный коридор техуровня, трубы, пар, табличка rewrite kernel, камера наблюдения, киберпанк хоррор",s23_l2_corridor.jpg
s24_emergency_stop,Аварийная остановка,"лифт застрял между этажами, мигающий свет, аварийная щель, вентиляция рядом, хоррор",s24_emergency_stop.jpg
s25_terminal_peek,Терминал: чужая сессия,"терминал охраны, строки сессии переписи, полчеловек, лог ядра, киберпанк хоррор",s25_terminal_peek.jpg
s26_admin_dialog,Администратор,"администратор в белом халате, идеальная улыбка, бейдж, клиника переписи, хоррор",s26_admin_dialog.jpg
s27_recovery_room,Комната восстановления,"комната восстановления памяти, кресло с ремнями, шлем из проводов, монитор, ампула antivirus, киберпанк хоррор",s27_recovery_room.jpg
s28_memory_buffer,Буфер памяти,"серверная буфера памяти, цилиндры с мутной жидкостью и светом, лицо в цилиндре, киберпанк хоррор",s28_memory_buffer.jpg
s29_coolant_room,Охлаждение ядра,"индустриальная комната охлаждения, пар, вентиляторы, тюбик coolant gel, дверь rewrite kernel, киберпанк хоррор",s29_coolant_room.jpg
s30_camera_spoof,Слепое пятно,"камера наблюдения, спуфер, индикатор гаснет, ощущение свободы, киберпанк хоррор",s30_camera_spoof.jpg
s31_ventcrawl,Вентиляция,"вентиляционный канал, тёплый влажный металл, свет через решётку, шёпот, киберпанк хоррор",s31_ventcrawl.jpg
s32_follow_admin,Идти за администратором,"администратор ведет по клинике переписи, силуэты за матовым стеклом, дверь kernel access, хоррор",s32_follow_admin.jpg
s33_memory_flash,Вспышка памяти,"кресло памяти, вспышка, зеркало, логотип neurodyne, ощущение потери личности, киберпанк хоррор",s33_memory_flash.jpg
s34_open_cylinder,Открыть цилиндр,"цилиндр буфера памяти открыт, влажный свет, лицо открывает глаза, ужас, киберпанк хоррор",s34_open_cylinder.jpg
s35_kernel_door,Дверь к ядру переписи,"дверь к ядру переписи, неоновая подсветка, панель режимов corporate maint emergency, киберпанк хоррор",s35_kernel_door.jpg
s36_safe_room,Сейф-комната,"тихая служебная комнатка, мягкий свет, инструкции, ощущение передышки, киберпанк",s36_safe_room.jpg
s37_kernel_entry,Вход к ядру,"длинный стерильный коридор, черные кабели как вены, голубая линия на полу, круглая камера в конце, киберпанк хоррор",s37_kernel_entry.jpg
s38_kernel_alarm,Аварийный вход,"аварийная дверь вскрыта, желтый тревожный свет, красная линия, бегущие строки intrusion, шаги караула, киберпанк хоррор",s38_kernel_alarm.jpg
s39_kernel_chamber,Камера ядра,"круглая камера ядра, колонна из черного стекла и света, световые кольца интерфейса, надпись протокола, киберпанк хоррор",s39_kernel_chamber.jpg
s40_ai_contact,Контакт,"абстрактная киберпанк камера, световые кольца, ощущение голоса в голове, психологический хоррор",s40_ai_contact.jpg
s41_hide_trace,Скрыть след,"пломбирующая лента на металле, тревожный свет, ощущение погони, киберпанк хоррор",s41_hide_trace.jpg
s42_sabotage_attempt,Попытка саботажа,"сервисный узел ядра, странные надписи эмоциями, рука в металлической нише, психологический хоррор, киберпанк",s42_sabotage_attempt.jpg
s43_accept_rewrite,Согласие,"кольца интерфейса вокруг колонны, свет касается человека, ощущение переписи личности, киберпанк хоррор",s43_accept_rewrite.jpg
s44_retreat,Отступление,"коридор от ядра, тени караула, ощущение ловушки без дверей, киберпанк хоррор",s44_retreat.jpg
s45_c0_question,Пациент C-0?,"темная абстрактная камера, ощущение откровения, слово C-0?, психологический хоррор",s45_c0_question.jpg
s46_power_cut,Срез питания,"камера ядра в темноте, один светящийся символ как глаз, ощущение беспомощности, киберпанк хоррор",s46_power_cut.jpg
s47_last_resist,Последнее сопротивление,"световые кольца держат человека, ощущение ловушки, последний рывок, киберпанк хоррор",s47_last_resist.jpg
s48_escape_maintenance,Побег через техзону,"техкоридор, люк в коммуникации города, металл, влажный пар, ощущение побега, киберпанк хоррор",s48_escape_maintenance.jpg
s49_hide_and_wait,Спрятаться и ждать,"темная ниша между кабелями, тени караула рядом, удерживаемое дыхание, киберпанк хоррор",s49_hide_and_wait.jpg
s50_why_rewrite,Почему перепись?,"камера ядра, световые кольца, ощущение разговора с холодной системой, киберпанк психологический хоррор",s50_why_rewrite.jpg
s51_trade_terms,Условия сделки,"световые кольца ядра, ощущение торга с системой, холодный свет, киберпанк хоррор",s51_trade_terms.jpg
s52_antivirus_injection,Инъекция antivirus,"сервисный порт ядра, дрожащий свет колец, глитч-артефакты лиц и имен, киберпанк хоррор",s52_antivirus_injection.jpg
s53_residue,Остаток,"камера ядра, холодный свет, ощущение откровения про ошибку внутри человека, киберпанк психологический хоррор",s53_residue.jpg
s54_truth_bargain,Торг правдой,"кольца интерфейса ядра, напряжение разговора, глитч-память, киберпанк хоррор",s54_truth_bargain.jpg
s55_kernel_breach,Разрыв,"ослепляющий свет колец ядра, разрыв протоколов, ощущение переписи привычек, киберпанк хоррор",s55_kernel_breach.jpg
s56_residue_weapon,Ошибка как оружие,"человек в камере ядра, напряжение, световые кольца, ощущение слепого пятна системы, киберпанк хоррор",s56_residue_weapon.jpg
s57_release_protocol,Протокол освобождения,"камера ядра, мягкий свет, ощущение выбора системы, киберпанк хоррор",s57_release_protocol.jpg
